name,version,license
"@alloc/quick-lru","5.2.0","MIT"
"@babel/runtime","7.28.6","MIT"
"@bcoe/v8-coverage","1.0.2","MIT"
"@cspotcode/source-map-support","0.8.1","MIT"
"@emnapi/core","1.11.1","MIT"
"@emnapi/runtime","1.11.1","MIT"
"@emnapi/wasi-threads","1.2.2","MIT"
"@istanbuljs/schema","0.1.6","MIT"
"@jridgewell/gen-mapping","0.3.13","MIT"
"@jridgewell/resolve-uri","3.1.2","MIT"
"@jridgewell/sourcemap-codec","1.5.5","MIT"
"@jridgewell/trace-mapping","0.3.9","MIT"
"@jridgewell/trace-mapping","0.3.31","MIT"
"@kwsites/file-exists","1.1.1","MIT"
"@kwsites/promise-deferred","1.1.1","MIT"
"@napi-rs/wasm-runtime","1.1.6","MIT"
"@nodelib/fs.scandir","2.1.5","MIT"
"@nodelib/fs.stat","2.0.5","MIT"
"@nodelib/fs.walk","1.2.8","MIT"
"@opentelemetry/api","1.9.0","Apache-2.0"
"@opentelemetry/api-logs","0.221.0","Apache-2.0"
"@opentelemetry/context-async-hooks","2.10.0","Apache-2.0"
"@opentelemetry/core","2.10.0","Apache-2.0"
"@opentelemetry/exporter-trace-otlp-http","0.221.0","Apache-2.0"
"@opentelemetry/otlp-exporter-base","0.221.0","Apache-2.0"
"@opentelemetry/otlp-transformer","0.221.0","Apache-2.0"
"@opentelemetry/resources","2.10.0","Apache-2.0"
"@opentelemetry/sdk-logs","0.221.0","Apache-2.0"
"@opentelemetry/sdk-metrics","2.10.0","Apache-2.0"
"@opentelemetry/sdk-trace","2.10.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.10.0","Apache-2.0"
"@opentelemetry/sdk-trace-node","2.10.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.40.0","Apache-2.0"
"@oxc-project/types","0.139.0","MIT"
"@react-email/render","1.1.2","MIT"
"@rolldown/binding-android-arm64","1.1.5","MIT"
"@rolldown/binding-darwin-arm64","1.1.5","MIT"
"@rolldown/binding-darwin-x64","1.1.5","MIT"
"@rolldown/binding-freebsd-x64","1.1.5","MIT"
"@rolldown/binding-linux-arm-gnueabihf","1.1.5","MIT"
"@rolldown/binding-linux-arm64-gnu","1.1.5","MIT"
"@rolldown/binding-linux-arm64-musl","1.1.5","MIT"
"@rolldown/binding-linux-ppc64-gnu","1.1.5","MIT"
"@rolldown/binding-linux-s390x-gnu","1.1.5","MIT"
"@rolldown/binding-linux-x64-gnu","1.1.5","MIT"
"@rolldown/binding-linux-x64-musl","1.1.5","MIT"
"@rolldown/binding-openharmony-arm64","1.1.5","MIT"
"@rolldown/binding-wasm32-wasi","1.1.5","MIT"
"@rolldown/binding-win32-arm64-msvc","1.1.5","MIT"
"@rolldown/binding-win32-x64-msvc","1.1.5","MIT"
"@rolldown/pluginutils","1.0.1","MIT"
"@selderee/plugin-htmlparser2","0.11.0","MIT"
"@simple-git/args-pathspec","1.0.3","MIT"
"@simple-git/argv-parser","1.1.1","MIT"
"@tsconfig/node10","1.0.12","MIT"
"@tsconfig/node12","1.0.11","MIT"
"@tsconfig/node14","1.0.3","MIT"
"@tsconfig/node16","1.0.4","MIT"
"@tybys/wasm-util","0.10.3","MIT"
"@types/archiver","7.0.0","MIT"
"@types/body-parser","1.19.6","MIT"
"@types/connect","3.4.38","MIT"
"@types/cookie-parser","1.4.10","MIT"
"@types/cors","2.8.19","MIT"
"@types/debug","4.1.12","MIT"
"@types/estree","1.0.9","MIT"
"@types/estree-jsx","1.0.5","MIT"
"@types/express","4.17.25","MIT"
"@types/express-rate-limit","5.1.3","MIT"
"@types/express-serve-static-core","4.19.8","MIT"
"@types/hast","3.0.4","MIT"
"@types/http-errors","2.0.5","MIT"
"@types/istanbul-lib-coverage","2.0.6","MIT"
"@types/jsonwebtoken","9.0.10","MIT"
"@types/mdast","4.0.4","MIT"
"@types/mime","1.3.5","MIT"
"@types/ms","2.1.0","MIT"
"@types/node","20.19.33","MIT"
"@types/node-cron","3.0.11","MIT"
"@types/prop-types","15.7.15","MIT"
"@types/qs","6.14.0","MIT"
"@types/range-parser","1.2.7","MIT"
"@types/react","18.3.28","MIT"
"@types/react-dom","18.3.7","MIT"
"@types/readdir-glob","1.1.5","MIT"
"@types/send","1.2.1","MIT"
"@types/send","0.17.6","MIT"
"@types/serve-static","1.15.10","MIT"
"@types/unist","3.0.3","MIT"
"@types/unist","2.0.11","MIT"
"@types/ws","8.18.1","MIT"
"@ungap/structured-clone","1.3.0","ISC"
"@vitejs/plugin-react","6.0.4","MIT"
"abort-controller","3.0.0","MIT"
"accepts","1.3.8","MIT"
"acorn","8.15.0","MIT"
"acorn-walk","8.3.4","MIT"
"ajv","8.20.0","MIT"
"ansi-regex","5.0.1","MIT"
"ansi-styles","4.3.0","MIT"
"any-promise","1.3.0","MIT"
"anymatch","3.1.3","ISC"
"archiver","8.0.0","MIT"
"arg","5.0.2","MIT"
"arg","4.1.3","MIT"
"argparse","1.0.10","MIT"
"array-flatten","1.1.1","MIT"
"async","3.2.6","MIT"
"autoprefixer","10.4.24","MIT"
"b4a","1.8.0","Apache-2.0"
"b4a","1.8.0","Apache-2.0"
"bail","2.0.2","MIT"
"balanced-match","4.0.4","MIT"
"bare-events","2.8.2","Apache-2.0"
"base64-js","1.5.1","MIT"
"baseline-browser-mapping","2.9.19","Apache-2.0"
"binary-extensions","2.3.0","MIT"
"body-parser","1.20.6","MIT"
"brace-expansion","5.0.9","MIT"
"braces","3.0.3","MIT"
"browserslist","4.28.1","MIT"
"buffer","6.0.3","MIT"
"buffer-crc32","1.0.0","MIT"
"buffer-equal-constant-time","1.0.1","BSD-3-Clause"
"bytes","3.1.2","MIT"
"c8","11.0.0","ISC"
"call-bind-apply-helpers","1.0.2","MIT"
"call-bound","1.0.4","MIT"
"camelcase-css","2.0.1","MIT"
"caniuse-lite","1.0.30001770","CC-BY-4.0"
"ccount","2.0.1","MIT"
"chalk","4.1.2","MIT"
"character-entities","2.0.2","MIT"
"character-entities-html4","2.1.0","MIT"
"character-entities-legacy","3.0.0","MIT"
"character-reference-invalid","2.0.1","MIT"
"chokidar","3.6.0","MIT"
"cliui","8.0.1","ISC"
"color-convert","2.0.1","MIT"
"color-name","1.1.4","MIT"
"comma-separated-tokens","2.0.3","MIT"
"commander","4.1.1","MIT"
"compress-commons","7.0.1","MIT"
"concurrently","8.2.2","MIT"
"content-disposition","0.5.4","MIT"
"content-type","1.0.5","MIT"
"convert-source-map","2.0.0","MIT"
"cookie","0.7.2","MIT"
"cookie-parser","1.4.7","MIT"
"cookie-signature","1.0.6","MIT"
"cookie-signature","1.0.7","MIT"
"core-util-is","1.0.3","MIT"
"cors","2.8.6","MIT"
"crc-32","1.2.2","Apache-2.0"
"crc32-stream","7.0.1","MIT"
"create-require","1.1.1","MIT"
"cronstrue","3.13.0","MIT"
"cross-spawn","7.0.6","MIT"
"cssesc","3.0.0","MIT"
"csstype","3.2.3","MIT"
"date-fns","2.30.0","MIT"
"debug","2.6.9","MIT"
"debug","4.4.3","MIT"
"debug","2.6.9","MIT"
"debug","2.6.9","MIT"
"debug","2.6.9","MIT"
"decode-named-character-reference","1.3.0","MIT"
"deepmerge","4.3.1","MIT"
"depd","2.0.0","MIT"
"dequal","2.0.3","MIT"
"destroy","1.2.0","MIT"
"detect-libc","2.1.2","Apache-2.0"
"devlop","1.1.0","MIT"
"didyoumean","1.2.2","Apache-2.0"
"diff","4.0.4","BSD-3-Clause"
"dlv","1.1.3","MIT"
"dom-serializer","2.0.0","MIT"
"domelementtype","2.3.0","BSD-2-Clause"
"domhandler","5.0.3","BSD-2-Clause"
"domutils","3.2.2","BSD-2-Clause"
"dotenv","17.3.1","BSD-2-Clause"
"dunder-proto","1.0.1","MIT"
"ecdsa-sig-formatter","1.0.11","Apache-2.0"
"ee-first","1.1.1","MIT"
"electron-to-chromium","1.5.286","ISC"
"emoji-regex","8.0.0","MIT"
"encodeurl","2.0.0","MIT"
"entities","4.5.0","BSD-2-Clause"
"es-define-property","1.0.1","MIT"
"es-errors","1.3.0","MIT"
"es-object-atoms","1.1.2","MIT"
"escalade","3.2.0","MIT"
"escape-html","1.0.3","MIT"
"escape-string-regexp","5.0.0","MIT"
